Skin Type,Product,Company_x,Star_x,Age,category,Ingredient,Good,Bad
,(유통기한임박)어니언 뉴페어 클리어 패드 60매+추가 7매(2506),,,,skin_toner_pad,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '20'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","수분있는(301), 자극없는(261), 에센스양많은(189), 진정되는(134), 트러블없어지는(109), 향에만족한(50), 트러블안생기는(46)","알러지반응오는(34), 따가운(19), 내장도구없는(13), 흘러내리는(10), 가려운(9), 뒤집어지는(9), 유분있는(9)"
,(해외) PM 페이셜 모이스처라이징 로션,,,,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '11'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '4'}]","유분없는(77), 보습잘되는(76), 잘발리는(71), 가벼운(64), 자극없는(41), 흡수잘되는(39), 트러블안생기는(30)","따가운(30), 알러지반응오는(23), 가려운(11), 뒤집어지는(9), 모공관리안되는(2), 잘굳는(2), 윤기안나는(1)"
,(해외) 데일리 모이스처라이징 로션,,,,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '9'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '3'}]","보습잘되는(26), 잘발리는(20), 가벼운(19), 자극없는(16), 끈적하지않은(13), 흡수잘되는(13), 유분없는(12)","알러지반응오는(8), 트러블생기는(8), 지속력안좋은(5), 향이아쉬운(5), 주름안없어지는(2), 각질제거안되는(2), 뒤집어지는(2)"
,(해외) 래피드 클리어 스터번 아크네 스팟 젤,,,,gel,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '1'}]","트러블없어지는(39), 매끄러운(2), 잘발리는(2), 잔향좋은(1), 리치한(1), 얇게발리는(1), 향에만족한(1)","알러지반응오는(11), 자극있는(8), 따가운(7), 트러블생기는(7), 가려운(5), 각질제거안되는(4), 뒤집어지는(2)"
,(해외) 시카플라스트 B5 리페어링 밤,,,,multibalm,"[{'ingredient_each_purpose': '자외선 차단', 'ingredient_each_purpose_cnt': '8'}, {'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '7'}]","보습잘되는(5), 수분있는(4), 트러블없어지는(4), 리치한(2), 향에만족한(2), 피부강화되는(1), 뽀송한(1)","밀림있는(6), 유분있는(5), 트러블생기는(3), 잘안발리는(2), 눈통증있는(1), 위생적이지않는(1), 겨울에사용하기안좋은(1)"
,(해외) 울트라 하이드레이팅 젤 모이스춰라이저,,,,gel,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '15'}, {'ingredient_each_purpose': '수분 증발 차단', 'ingredient_each_purpose_cnt': '5'}]","수분있는(5), 가벼운(3), 흡수잘되는(2), 답답하지않은(1), 산뜻한(1), 유분없는(1), 끈적하지않은(1)","보습안되는(4), 리치하지않은(1), 유수분밸런스가맞지않는(1), 지속력안좋은(1), 잘굳는(1), 따가운(1), 트러블생기는(1)"
,1+1 비타씨플러스 잡티씨 탄력 앰플밤 스틱 10g,,,,multibalm,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '31'}, {'ingredient_each_purpose': '수분 증발 차단', 'ingredient_each_purpose_cnt': '8'}]","향에만족한(57), 시트러스향나는(40), 휴대성좋은(33), 잘발리는(26), 편안해지는(23), 뻑뻑하지않은(10), 냄새가독하지않은(9)","용량적은(24), 저렴하지않은(15), 유분있는(15), 흡수안되는(11), 탄력안생기는(4), 미백효과가없는(4), 유수분밸런스가맞지않는(4)"
,1+1 타임 레볼루션 나이트리페어 앰플밤 스틱 10g,,,,multibalm,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '46'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '15'}]","보습잘되는(78), 수분있는(62), 잘발리는(59), 향에만족한(55), 휴대성좋은(43), 편안해지는(34), 주름없어지는(21)","유분있는(47), 끈적한(24), 저렴하지않은(24), 용량적은(21), 여름에사용하기안좋은(11), 미끌거리는(6), 뽀송하지않은(3)"
,10% 아하 바디로션 210ml,,,,lotion_emulsion,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '12'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '5'}]","등드름없어지는(80), 트러블없어지는(75), 각질제거잘되는(57), 매끄러운(34), 흡수잘되는(32), 가드름없어지는(11), 피부결좋아지는(11)","향이아쉬운(96), 따가운(40), 향지속잘되지않는(10), 냄새가독한(9), 알러지반응오는(9), 인공향나는(8), 트러블생기는(6)"
,100 퓨어 타마누 라이트 오일 30ml,,,,face_oil,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '2'}, {'ingredient_each_purpose': '수분 증발 차단', 'ingredient_each_purpose_cnt': '1'}]","보습잘되는(148), 흡수잘되는(72), 트러블없어지는(50), 진정되는(40), 끈적하지않은(37), 트러블안생기는(37), 가벼운(33)","향이아쉬운(100), 냄새가독한(12), 알러지반응오는(10), 인공향나는(8), 향지속잘되지않는(5), 눈통증있는(4), 피지안없어지는(1)"
